,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
378,Flagship Hotel Green View,1721,3.9,85,Good,NON WIZARD MEMBER,4917,Vihar Lake Saki Vihar Road Near NITIE Collage Powai Mumbai,Mumbai
379,Collection O 78659 Collection O Hotel Jayshree Domestic Airport,3177,3.6,594,Good,WIZARD MEMBER,9077,"Vile Parle East, Mumbai",Mumbai
380,OYO The Chill Palace Near Haiderpur Metro Station,499,4.1,819,Very Good,NON WIZARD MEMBER,2639,"North West Delhi, Delhi",Delhi
381,Super OYO Townhouse 868 Dream Connect Near TDI Mall,1106,4.2,3519,Very Good,NON WIZARD MEMBER,4369,"Wz-3 Opp Pillor No 322 Moti Nagar Delhi, Delhi",Delhi
382,Super OYO Collection O Shalimar Bagh Near Haiderpur Metro Station,763,3.6,3021,Good,WIZARD MEMBER,2737,"Shalimar Village, Delhi",Delhi
383,OYO Flgship International Paradis Near Jaffrabad Metro Station,713,2.9,77,Fair,NON WIZARD MEMBER,2264,"F 48 Jagjit Nagar Main Pusta Road, Delhi",Delhi
384,OYO Flagship 807922 Hotel Happy Moments,631,3.0,85,Fair,NON WIZARD MEMBER,2002,"Near Divine Hospital, Delhi",Delhi
385,Flagship Kashish Residency Near Model Town Metro Station,631,3.2,749,Fair,NON WIZARD MEMBER,2222,"Ashok Vihar-3, Delhi",Delhi
386,OYO Hotel Kl Khari Inn Near Haiderpur Metro Station,549,4.1,878,Very Good,WIZARD MEMBER,2052,"North West Delhi, Delhi",Delhi
387,Capital O Hotel Grand Stays Near Jama Masjid,855,2.8,86,Fair,WIZARD MEMBER,3336,"Central Delhi, Delhi",Delhi
388,OYO Shubh Guest House,649,3.4,90,Fair,WIZARD MEMBER,2165,"C1/64 Main Sarvice Road Soniya Vihar 3 Rd Pusta, Delhi",Delhi
389,OYO Hotel City Castle Near Gurudwara Shri Bangla Sahib,1423,4.0,2022,Very Good,NON WIZARD MEMBER,4067,"Near Karol Bagh, Nai Walan, Delhi",Delhi
390,Flagship Hotel Grow More Near Shiv Mandir,895,3.9,121,Good,WIZARD MEMBER,2558,"East Babarpur, Delhi",Delhi
391,Flagship Royal Paradise Near Tdi Mall,549,3.0,406,Fair,NON WIZARD MEMBER,2176,"C 7 Kailash Park Moti Nagar, Delhi",Delhi
392,OYO Hotel Prince Near Haiderpur Metro Station,899,3.8,347,Good,NON WIZARD MEMBER,3110,"Haiderpur Village, Delhi",Delhi
393,OYO Hotel J Joy Near Gurudwara Shri Bangla Sahib,947,3.6,1457,Good,NON WIZARD MEMBER,3208,"MAIN FAIZ ROAD (Above SBI BANK), KAROL BAGH",Delhi
394,OYO Flagship 809087 Hotel Diamond Tree,564,2.3,24,Fair,NON WIZARD MEMBER,1789,"New Delhi, Delhi",Delhi
395,SPOT ON 61091 Hotel Silver Palace Dx,1106,4.5,3945,Excellent,WIZARD MEMBER,3161,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",Delhi
396,Flagship Sr Residency Near CCD,560,3.6,130,Good,NON WIZARD MEMBER,2353,"Block B, Delhi",Delhi
397,OYO 70893 Kl Khari Inn,730,3.9,1311,Good,WIZARD MEMBER,2426,"Near Ashok Park Main, Rampura Marg, Delhi",Delhi
398,OYO Flagship 77798 Hotel Sai Guest House,750,3.0,2,Fair,WIZARD MEMBER,2142,"Azadpur, Delhi",Delhi
399,Flagship King Stay Near Tdi Mall,649,3.4,264,Fair,WIZARD MEMBER,3040,"Block N, Delhi",Delhi
400,OYO The Chill Palace Near Haiderpur Metro Station,499,4.1,819,Very Good,NON WIZARD MEMBER,2639,"North West Delhi, Delhi",Delhi
401,Super OYO Townhouse 868 Dream Connect Near TDI Mall,1106,4.2,3519,Very Good,NON WIZARD MEMBER,4369,"Wz-3 Opp Pillor No 322 Moti Nagar Delhi, Delhi",Delhi
402,Super OYO Collection O Shalimar Bagh Near Haiderpur Metro Station,763,3.6,3021,Good,WIZARD MEMBER,2737,"Shalimar Village, Delhi",Delhi
403,OYO Flgship International Paradis Near Jaffrabad Metro Station,713,2.9,77,Fair,NON WIZARD MEMBER,2264,"F 48 Jagjit Nagar Main Pusta Road, Delhi",Delhi
404,OYO Flagship 807922 Hotel Happy Moments,631,3.0,85,Fair,NON WIZARD MEMBER,2002,"Near Divine Hospital, Delhi",Delhi
405,Flagship Kashish Residency Near Model Town Metro Station,631,3.2,749,Fair,NON WIZARD MEMBER,2222,"Ashok Vihar-3, Delhi",Delhi
406,OYO Hotel Kl Khari Inn Near Haiderpur Metro Station,549,4.1,878,Very Good,WIZARD MEMBER,2052,"North West Delhi, Delhi",Delhi
407,Capital O Hotel Grand Stays Near Jama Masjid,855,2.8,86,Fair,WIZARD MEMBER,3336,"Central Delhi, Delhi",Delhi
408,OYO Shubh Guest House,649,3.4,90,Fair,WIZARD MEMBER,2165,"C1/64 Main Sarvice Road Soniya Vihar 3 Rd Pusta, Delhi",Delhi
409,OYO Hotel City Castle Near Gurudwara Shri Bangla Sahib,1423,4.0,2022,Very Good,NON WIZARD MEMBER,4067,"Near Karol Bagh, Nai Walan, Delhi",Delhi
410,Flagship Hotel Grow More Near Shiv Mandir,895,3.9,121,Good,WIZARD MEMBER,2558,"East Babarpur, Delhi",Delhi
411,Flagship Royal Paradise Near Tdi Mall,549,3.0,406,Fair,NON WIZARD MEMBER,2176,"C 7 Kailash Park Moti Nagar, Delhi",Delhi
412,OYO Hotel Prince Near Haiderpur Metro Station,899,3.8,347,Good,NON WIZARD MEMBER,3110,"Haiderpur Village, Delhi",Delhi
